ID,name,year,month,day,time,gauge,rebound,m_wet,D,h,volume,rho_wet,m_dry,m_water,rho_dry,rho_clay,water_content,Vw,Vs,porosity,saturation,use
-,-,yy,mm,dd,tt,[mm],rebound,[g],[mm],[mm],[mm3],[g/cm3],[g],[g],[g/cm3],[g/cm3],[%],[mm3],[mm3],[%],[%],0/1
1,data1,2021,1,28,11:30,10.65,0.880000000000001,10.56,29.4,9.114,6187.2 ,1.71 ,9.24,1.32,1.49 ,2.70 ,0.143,1320,3422.2 ,0.45,0.477,0
2,data2,2021,1,28,11:50,10.68,0.880000000000001,10.56,29.4,9.14400000000001,6207.6 ,1.70 ,9.24,1.32,1.49 ,2.70 ,0.143,1320,3422.2 ,0.45,0.474,1
3,data3,2021,1,28,12:08,10.7,0.880000000000001,10.56,29.4,9.16400000000001,6221.1 ,1.70 ,9.24,1.32,1.49 ,2.70 ,0.143,1320,3422.2 ,0.45,0.472,1
4,data4,2021,1,28,12:34,10.71,0.880000000000001,10.56,29.4,9.17400000000001,6227.9 ,1.70 ,9.24,1.32,1.48 ,2.70 ,0.143,1320,3422.2 ,0.45,0.470,1
5,data5,2021,1,28,15:06,10.73,0.880000000000001,10.56,29.4,9.19400000000001,6241.5 ,1.69 ,9.24,1.32,1.48 ,2.70 ,0.143,1320,3422.2 ,0.45,0.468,1
6,data6,2021,1,28,15:18,10.73,0.880000000000001,10.56,29.4,9.19400000000001,6241.5 ,1.69 ,9.24,1.32,1.48 ,2.70 ,0.143,1320,3422.2 ,0.45,0.468,1
7,data7,2021,1,28,15:50,10.73,0.880000000000001,10.56,29.4,9.19400000000001,6241.5 ,1.69 ,9.24,1.32,1.48 ,2.70 ,0.143,1320,3422.2 ,0.45,0.468,1
8,data8,2021,1,28,16:07,10.23,0.880000000000001,10.56,29.4,8.694,5902.1 ,1.79 ,9.24,1.32,1.57 ,2.70 ,0.143,1320,3422.2 ,0.42,0.532,1
9,data9,2021,1,28,16:20,10.24,0.880000000000001,10.56,29.4,8.704,5908.9 ,1.79 ,9.24,1.32,1.56 ,2.70 ,0.143,1320,3422.2 ,0.42,0.531,1
10,data10,2021,1,28,16:40,10.24,0.880000000000001,10.56,29.4,8.704,5908.9 ,1.79 ,9.24,1.32,1.56 ,2.70 ,0.143,1320,3422.2 ,0.42,0.531,1
11,data11,2021,1,28,17:05,10.24,0.880000000000001,10.56,29.4,8.704,5908.9 ,1.79 ,9.24,1.32,1.56 ,2.70 ,0.143,1320,3422.2 ,0.42,0.531,1
12,data12,2021,1,28,17:25,10.25,0.880000000000001,10.56,29.4,8.714,5915.6 ,1.79 ,9.24,1.32,1.56 ,2.70 ,0.143,1320,3422.2 ,0.42,0.529,1
13,data13,2021,1,28,17:42,9.65,0.880000000000001,10.56,29.4,8.114,5508.3 ,1.92 ,9.24,1.32,1.68 ,2.70 ,0.143,1320,3422.2 ,0.38,0.633,0
14,data14,2021,1,28,20:39,9.73,0.880000000000001,10.56,29.4,8.194,5562.6 ,1.90 ,9.24,1.32,1.66 ,2.70 ,0.143,1320,3422.2 ,0.38,0.617,1
15,data15,2021,1,28,20:53,9.74,0.880000000000001,10.56,29.4,8.204,5569.4 ,1.90 ,9.24,1.32,1.66 ,2.70 ,0.143,1320,3422.2 ,0.39,0.615,1
16,data16,2021,1,28,21:15,9.14,0.880000000000001,10.56,29.4,7.604,5162.1 ,2.05 ,9.24,1.32,1.79 ,2.70 ,0.143,1320,3422.2 ,0.34,0.759,0
17,data17,2021,1,28,21:27,9.13,0.880000000000001,10.56,29.4,7.594,5155.3 ,2.05 ,9.24,1.32,1.79 ,2.70 ,0.143,1320,3422.2 ,0.34,0.762,1
18,data18,2021,1,28,22:16,9.12,0.880000000000001,10.56,29.4,7.584,5148.5 ,2.05 ,9.24,1.32,1.79 ,2.70 ,0.143,1320,3422.2 ,0.34,0.765,1
19,data19,2021,1,28,22:45,9.12,0.880000000000001,10.56,29.4,7.584,5148.5 ,2.05 ,9.24,1.32,1.79 ,2.70 ,0.143,1320,3422.2 ,0.34,0.765,1
20,data20,2021,1,28,23:31,9.12,0.880000000000001,10.56,29.4,7.584,5148.5 ,2.05 ,9.24,1.32,1.79 ,2.70 ,0.143,1320,3422.2 ,0.34,0.765,1
,,,,,除荷時,10,,10.56,29.4,8.464,,,9.24,,,2.70 ,,,,,,
