ID,name,year,month,day,time,gauge,rebound,m_wet,diameter,height,volume,rho_wet,m_dry,m_water,rho_dry,rho_clay,water_content,Vw,Vs,porosity,saturation,use
-,-,yy,mm,dd,tt,[mm],[mm,[g],[mm],[mm],[mm3],[g/cm3],[g],[g],[g/cm3],[g/cm3],[%],[mm3],[mm3],[%],[%],0/1
1,data1,2021,2,2,9:20,10.5,0.93,11.14,29.29,9.44000000000001,6360.64 ,1.75 ,9.56,1.58,1.50 ,2.70 ,0.165,1580,3540.7 ,0.44,0.56,0
2,data2,2021,2,2,10:00,10.45,0.93,11.14,29.29,9.39,6326.95 ,1.76 ,9.56,1.58,1.51 ,2.70 ,0.165,1580,3540.7 ,0.44,0.57,1
3,data3,2021,2,2,10:40,10.43,0.93,11.14,29.29,9.37,6313.47 ,1.76 ,9.56,1.58,1.51 ,2.70 ,0.165,1580,3540.7 ,0.44,0.57,1
4,data4,2021,2,2,11:20,10.43,0.93,11.14,29.29,9.37,6313.47 ,1.76 ,9.56,1.58,1.51 ,2.70 ,0.165,1580,3540.7 ,0.44,0.57,1
5,data4_2,2021,2,2,12:00,10.43,0.93,11.14,29.29,9.37,6313.47 ,1.76 ,9.56,1.58,1.51 ,2.70 ,0.165,1580,3540.7 ,0.44,0.57,1
6,data5,2021,2,2,12:15,10,0.93,11.14,29.29,8.94000000000001,6023.74 ,1.85 ,9.56,1.58,1.59 ,2.70 ,0.165,1580,3540.7 ,0.41,0.64,0
7,data6,2021,2,2,12:45,10,0.93,11.14,29.29,8.94000000000001,6023.74 ,1.85 ,9.56,1.58,1.59 ,2.70 ,0.165,1580,3540.7 ,0.41,0.64,1
8,data7,2021,2,2,13:25,10,0.93,11.14,29.29,8.94000000000001,6023.74 ,1.85 ,9.56,1.58,1.59 ,2.70 ,0.165,1580,3540.7 ,0.41,0.64,1
9,data8,2021,2,2,13:55,10,0.93,11.14,29.29,8.94000000000001,6023.74 ,1.85 ,9.56,1.58,1.59 ,2.70 ,0.165,1580,3540.7 ,0.41,0.64,1
10,data9,2021,2,2,14:05,9.485,0.93,11.14,29.29,8.425,5676.73 ,1.96 ,9.56,1.58,1.68 ,2.70 ,0.165,1580,3540.7 ,0.38,0.74,0
11,data10,2021,2,2,15:50,9.44,0.93,11.14,29.29,8.38,5646.41 ,1.97 ,9.56,1.58,1.69 ,2.70 ,0.165,1580,3540.7 ,0.37,0.75,1
12,data11,2021,2,2,16:00,9.44,0.93,11.14,29.29,8.38,5646.41 ,1.97 ,9.56,1.58,1.69 ,2.70 ,0.165,1580,3540.7 ,0.37,0.75,1
13,data12,2021,2,2,16:10,9.44,0.93,11.14,29.29,8.38,5646.41 ,1.97 ,9.56,1.58,1.69 ,2.70 ,0.165,1580,3540.7 ,0.37,0.75,1
14,data13,2021,2,2,16:25,8.99,0.93,11.14,29.29,7.93,5343.20 ,2.08 ,9.56,1.58,1.79 ,2.70 ,0.165,1580,3540.7 ,0.34,0.88,0
14,data14,2021,2,2,16:45,8.97,0.93,11.14,29.29,7.91,5329.73 ,2.09 ,9.56,1.58,1.79 ,2.70 ,0.165,1580,3540.7 ,0.34,0.88,1
15,data15,2021,2,2,17:05,8.97,0.93,11.14,29.29,7.91,5329.73 ,2.09 ,9.56,1.58,1.79 ,2.70 ,0.165,1580,3540.7 ,0.34,0.88,1
16,data16,2021,2,2,17:25,8.97,0.93,11.14,29.29,7.91,5329.73 ,2.09 ,9.56,1.58,1.79 ,2.70 ,0.165,1580,3540.7 ,0.34,0.88,1
,,,,,除荷時,9.9,,11.14,29.29,8.84,,,9.56,,,2.70 ,,,,,,
,,,,,,10.19,,,,,,,,,,,,,,,,
,,,,,,10.43,紙が抜ける,,,,,,,,,,,,,,,
,,,,,,10.4,完全接触,,,,,,,,,,,,,,,
,,,,,,9.5,セル完全固定,,,,,,,,,,,,,,,
